contraction,expansion
iy,iya
y,iya
yoii,iya
hadeh,aduh
haduh,aduh
yaampun,ya ampun
gpp,tidak apa-apa
gapapa,tidak apa-apa
ngga papa,tidak apa-apa
nggak papa,tidak apa-apa
maav,maaf
maapin,maafkan
maafin,maafkan
tenkyu,terima kasih
makasii,terima kasih
makasihh,terima kasih
maaciw,terima kasih
tengkyu,terima kasih
trimakasih,terima kasih
kenawhy,kenapa
knpa,kenapa
cemungut,semangat
semangatt,semangat
gemoy,gemas
kangen,rindu
kgn,rindu
kangenn,rindu
kzl,kesal
pewe,posisi nyaman
mageran,suka malas gerak
magerr,malas gerak
mnding,lebih baik
gimanaa,bagaimana
gimanaaa,bagaimana
gmna,bagaimana
gmnaa,bagaimana
udahh,sudah
udahan,sudahan
kelar,selesai
sbntr,sebentar
sebentarr,sebentar
ra,tidak
gabole,tidak boleh
gaboleh,tidak boleh
gak boleh,tidak boleh
tak boleh,tidak boleh
tdk boleh,tidak boleh
opo,apa
opo?,apa?
paan,apa
mantep,mantap
mantapp,mantap
asikk,asik
asikkk,asik
seruu,seru
seruuu,seru
kerennn,keren
kece,keren
spill,bocorkan info
spill the tea,bongkar rahasia
based,keren
slay,keren
mood,suasana hati
relate,bisa dimengerti
literally,banget
periodt,titik
iykyk,jika kamu tahu ya tahu
pov,sudut pandang
irl,di dunia nyata
ghosting,menghilang tiba-tiba
ngghosting,menghilang tiba-tiba
healing,liburan
overthinking,berpikir berlebihan
salty,kesal
cringe,memalukan
flexing,pamer
ship,mendukung hubungan
